,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_14,-0.1113361002163774,-0.12097795822062524,-0.15707621815232775,-0.03915363729890443,-0.06123290542366087,0.08972548775907355,-0.12351602000986284,-0.1640045568555795,-0.0594482233352104
dim_15,-0.2572251542124773,-0.2484000032237666,-0.30290449308852574,-0.004216947957629452,-0.025968627065460402,0.00996469650436154,-0.013797532353567805,-0.050055454120153796,-0.01939824238349695
dim_16,0.19835130297976958,-0.039321549439440016,0.0014609270816289491,0.056268023838437035,0.09593433002484458,0.04859374191992875,-0.06987936582045191,0.05497700808301789,0.00025228784877369154
dim_17,-0.13701255149739106,-0.12998484194944854,-0.116670106804576,0.09750487620406761,0.077205036822108,0.04761772281550402,-0.12161630083356481,-0.026025645459022598,0.18024459479859636
dim_18,-0.14562011144620055,-0.03127155648005513,-0.032590178988556436,-0.06602766158313525,-0.039442891193977245,0.06252046630772702,-0.03391383596725514,-0.1004817982375396,-0.07083403805563063
dim_19,0.11582033551340971,-0.15728169562889072,-0.008212713314498285,-0.05288913074526969,-0.022142278156747196,0.12009889691087863,-0.07071241600317155,0.012485238013460787,0.11246734623131913
dim_20,-0.09618515434954525,-0.16540981618433284,-0.16297024202642493,0.0017004570798433885,0.03578400849912506,-0.007699687893290559,-0.05358622644059674,-0.016213027364107516,0.036845419415265826
dim_21,0.11470710254780067,0.06369571759427957,0.08397044537453895,-0.13011314646001812,-0.1395748513064249,-0.15606840315802273,0.17612277575793486,0.15073163218183833,0.05832195823021178
dim_22,-0.06505317003790698,-0.05933319796234123,-0.01210135833033839,-0.005625231614111353,-0.03599259901013911,0.00951924574386356,-0.021959146894515735,-0.02103059947769829,0.1305726201642473
dim_23,0.020058352163390216,0.1333966084614855,0.06860469518104736,0.01289694088945797,0.01805421094212935,0.06784149735098485,0.006711320574868336,-0.05053952185712186,-0.16194151990488148
dim_24,0.06417380119494925,0.07379973291472927,0.1480424990382902,-0.0022195631381000326,-0.01654452422654044,0.020349349676706575,0.03040172161550435,0.04736269724004061,0.06123463359758469
