,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_72,-0.05536682953989564,-0.02801812748038109,-0.03515045649652577,-0.0034126337519264057,-0.009598921162836263,0.022528126340112718,0.05225155503564101,0.06457426660374617,0.07351284169252129
dim_73,0.0462692387770419,0.004413010861600386,0.05177131181083409,-0.01639105667346108,0.01097818100748257,0.06398521192805925,-0.07233895175286255,0.06900540059566544,-0.03132550610754305
dim_74,-0.002470348274245499,0.03646734210879372,0.019627287518236867,0.03341781296298653,0.019897335409797337,0.019618135798218115,-0.0284583355251296,0.050223288740553984,-0.003040437179607513
dim_75,-0.02475367682410914,-0.03961039864968094,-0.03738053908480014,-0.014057741397065488,-0.027960947265470944,-0.005105563122011715,0.05868111337250355,0.0544825514991718,0.022873623143984396
dim_76,-0.005112799106097676,-0.028357523958332357,-0.04033983498140837,0.07533890896784907,0.06804847784881199,-0.06469391203152114,0.09825185071451153,-0.005786535301709822,0.02008397471535236
dim_77,0.01609206449987261,0.04651390260163259,0.04295526074666708,0.03985115409814821,0.040991795728860594,-0.002343459171931156,0.043125965003184885,0.03413340240000936,0.021201769132763986
dim_78,0.03383956042249739,0.10072358423362246,0.05965741796116751,0.07022507357501633,0.07501885712939398,0.022355138262968914,-0.07641479351896888,-0.03992791081760538,-0.04214939808320506
dim_79,6.356499724785835e-06,0.06392828510103454,0.04057693542121043,-0.09007942354410137,-0.07645322521255396,-0.019054198836222738,-0.009504409441107331,-0.038062213364474795,-0.0611606565086928
dim_80,-0.08193700236541955,-0.03554889644510712,-0.010090784907117381,0.029079967693331394,0.008401629763511966,-0.07321036305738719,0.018009979113903767,-0.08388454918326733,0.03184045338038097
dim_81,0.00030710708211145515,0.012533842539480356,-0.022880958172375777,0.05858564247876653,0.06258758973805496,0.0388664984426004,-0.05117162569815252,0.02242565758084526,-0.0023518403414148964
dim_82,-0.002608988497898041,-0.04100713305213963,-0.09275209166991079,-0.013599282126549617,-0.012298397394717334,0.016086434917004885,-0.04168268542740083,-0.06460477751322388,-0.05657214710675452
dim_83,0.013452410666022832,-0.0775224172075207,-0.04284130223189601,-0.004192064884875259,-0.02378834053472046,0.035419668912156525,0.04115472866912546,0.022763457879910784,0.02980964768238431
dim_84,-0.018260961600198067,-0.003768910501709495,0.005031012503260235,0.03882395376104425,0.054774051071649746,0.040708043461735365,-0.024766928946626507,0.019965122521696257,-0.02499116023802815
dim_85,-0.04216108959860919,0.014640621764585596,-0.04177743702059,-0.037352694524684336,-0.0422175644191618,-0.06787316617616923,0.05635595204510871,0.03751929722133382,0.05377410579978133
dim_86,0.020336500795259307,-0.031543432060929126,0.03210636819967959,0.01163587281342214,-0.0075841322700904885,-0.02577848138808623,-0.0076181211641285634,0.03174018755006492,0.00515488320184354
dim_87,-0.017352467332313142,0.024405524892154317,0.0184890854565086,-0.06756699928473554,-0.06911822927234373,0.04289140198013199,0.002764051682271604,-0.022107927580129288,-0.011262302768483503
dim_88,0.014632909471388027,0.03808847080611582,0.04562330552119224,0.03536179105488554,0.03626193509048759,0.06675104160757056,-0.022977018919667313,0.013191764418561902,0.024303265768223534
